course,race_number,time,html_link
mornington,1,Finished,https://swiftbet.com.au//racing/gallops/mornington/race-1-1962944-1088144
mornington,2,Finished,https://swiftbet.com.au//racing/gallops/mornington/race-2-1962946-1088144
mornington,3,Finished,https://swiftbet.com.au//racing/gallops/mornington/race-3-1962949-1088144
mornington,4,Finished,https://swiftbet.com.au//racing/gallops/mornington/race-4-1962954-1088144
mornington,5,Finished,https://swiftbet.com.au//racing/gallops/mornington/race-5-1962958-1088144
mornington,6,Finished,https://swiftbet.com.au//racing/gallops/mornington/race-6-1962960-1088144
mornington,7,Finished,https://swiftbet.com.au//racing/gallops/mornington/race-7-1962964-1088144
mornington,8,Finished,https://swiftbet.com.au//racing/gallops/mornington/race-8-1962966-1088144
murwillumbah,1,Finished,https://swiftbet.com.au//racing/gallops/murwillumbah/race-1-1962896-1088138
murwillumbah,2,Finished,https://swiftbet.com.au//racing/gallops/murwillumbah/race-2-1962904-1088138
murwillumbah,3,Finished,https://swiftbet.com.au//racing/gallops/murwillumbah/race-3-1962911-1088138
murwillumbah,4,Finished,https://swiftbet.com.au//racing/gallops/murwillumbah/race-4-1962916-1088138
murwillumbah,5,Finished,https://swiftbet.com.au//racing/gallops/murwillumbah/race-5-1962920-1088138
murwillumbah,6,Finished,https://swiftbet.com.au//racing/gallops/murwillumbah/race-6-1962924-1088138
murwillumbah,7,Finished,https://swiftbet.com.au//racing/gallops/murwillumbah/race-7-1962930-1088138
murwillumbah,8,Finished,https://swiftbet.com.au//racing/gallops/murwillumbah/race-8-1962936-1088138
hobart,1,Finished,https://swiftbet.com.au//racing/gallops/hobart/race-1-1961976-1088057
hobart,2,Finished,https://swiftbet.com.au//racing/gallops/hobart/race-2-1961977-1088057
hobart,3,Finished,https://swiftbet.com.au//racing/gallops/hobart/race-3-1961978-1088057
hobart,4,Finished,https://swiftbet.com.au//racing/gallops/hobart/race-4-1961979-1088057
hobart,5,Finished,https://swiftbet.com.au//racing/gallops/hobart/race-5-1961980-1088057
hobart,6,Finished,https://swiftbet.com.au//racing/gallops/hobart/race-6-1961981-1088057
hobart,7,Finished,https://swiftbet.com.au//racing/gallops/hobart/race-7-1961982-1088057
hobart,8,Finished,https://swiftbet.com.au//racing/gallops/hobart/race-8-1961983-1088057
hobart,9,Finished,https://swiftbet.com.au//racing/gallops/hobart/race-9-1961984-1088057
hobart,10,Finished,https://swiftbet.com.au//racing/gallops/hobart/race-10-1961985-1088057
ipswich,1,Finished,https://swiftbet.com.au//racing/gallops/ipswich/race-1-1963021-1088156
ipswich,2,Finished,https://swiftbet.com.au//racing/gallops/ipswich/race-2-1963027-1088156
ipswich,3,Finished,https://swiftbet.com.au//racing/gallops/ipswich/race-3-1963032-1088156
ipswich,4,Finished,https://swiftbet.com.au//racing/gallops/ipswich/race-4-1963038-1088156
ipswich,5,Finished,https://swiftbet.com.au//racing/gallops/ipswich/race-5-1963047-1088156
ipswich,6,Finished,https://swiftbet.com.au//racing/gallops/ipswich/race-6-1963058-1088156
ipswich,7,Finished,https://swiftbet.com.au//racing/gallops/ipswich/race-7-1963061-1088156
ipswich,8,Finished,https://swiftbet.com.au//racing/gallops/ipswich/race-8-1963065-1088156
geraldton,1,Finished,https://swiftbet.com.au//racing/gallops/geraldton/race-1-1962481-1088100
geraldton,2,Finished,https://swiftbet.com.au//racing/gallops/geraldton/race-2-1962485-1088100
geraldton,3,Finished,https://swiftbet.com.au//racing/gallops/geraldton/race-3-1962490-1088100
geraldton,4,Finished,https://swiftbet.com.au//racing/gallops/geraldton/race-4-1962495-1088100
geraldton,5,Finished,https://swiftbet.com.au//racing/gallops/geraldton/race-5-1962500-1088100
geraldton,6,Finished,https://swiftbet.com.au//racing/gallops/geraldton/race-6-1962505-1088100
geraldton,7,Finished,https://swiftbet.com.au//racing/gallops/geraldton/race-7-1962516-1088100
strathalbyn,1,Finished,https://swiftbet.com.au//racing/gallops/strathalbyn/race-1-1962951-1088146
