course,race_number,time,html_link
cranbourne,1,2024-12-28 07:34:23,https://swiftbet.com.au//racing/harness/cranbourne/race-1-1962809-1088130
cranbourne,2,2024-12-28 08:09:23,https://swiftbet.com.au//racing/harness/cranbourne/race-2-1962814-1088130
cranbourne,3,2024-12-28 08:44:23,https://swiftbet.com.au//racing/harness/cranbourne/race-3-1962819-1088130
cranbourne,4,2024-12-28 09:19:23,https://swiftbet.com.au//racing/harness/cranbourne/race-4-1962829-1088130
cranbourne,5,2024-12-28 09:54:23,https://swiftbet.com.au//racing/harness/cranbourne/race-5-1962841-1088130
cranbourne,6,2024-12-28 10:26:23,https://swiftbet.com.au//racing/harness/cranbourne/race-6-1962850-1088130
cranbourne,7,2024-12-28 11:01:23,https://swiftbet.com.au//racing/harness/cranbourne/race-7-1962859-1088130
albion-park,1,2024-12-28 07:28:23,https://swiftbet.com.au//racing/harness/albion-park/race-1-1962897-1088139
albion-park,2,2024-12-28 07:57:23,https://swiftbet.com.au//racing/harness/albion-park/race-2-1962900-1088139
albion-park,3,2024-12-28 08:32:23,https://swiftbet.com.au//racing/harness/albion-park/race-3-1962902-1088139
albion-park,4,2024-12-28 09:07:23,https://swiftbet.com.au//racing/harness/albion-park/race-4-1962903-1088139
albion-park,5,2024-12-28 09:42:23,https://swiftbet.com.au//racing/harness/albion-park/race-5-1962905-1088139
albion-park,6,2024-12-28 10:09:23,https://swiftbet.com.au//racing/harness/albion-park/race-6-1962907-1088139
albion-park,7,2024-12-28 10:47:23,https://swiftbet.com.au//racing/harness/albion-park/race-7-1962908-1088139
albion-park,8,2024-12-28 11:22:23,https://swiftbet.com.au//racing/harness/albion-park/race-8-1962910-1088139
albion-park,9,2024-12-28 11:49:23,https://swiftbet.com.au//racing/harness/albion-park/race-9-1962912-1088139
albion-park,10,2024-12-28 12:14:23,https://swiftbet.com.au//racing/harness/albion-park/race-10-1962913-1088139
albany,1,2024-12-28 09:48:23,https://swiftbet.com.au//racing/harness/albany/race-1-1963372-1088187
albany,2,2024-12-28 10:19:23,https://swiftbet.com.au//racing/harness/albany/race-2-1963375-1088187
albany,3,2024-12-28 10:54:23,https://swiftbet.com.au//racing/harness/albany/race-3-1963378-1088187
albany,4,2024-12-28 11:33:23,https://swiftbet.com.au//racing/harness/albany/race-4-1963379-1088187
albany,5,2024-12-28 11:59:23,https://swiftbet.com.au//racing/harness/albany/race-5-1963382-1088187
albany,6,2024-12-28 12:29:23,https://swiftbet.com.au//racing/harness/albany/race-6-1963385-1088187
albany,7,2024-12-28 12:59:23,https://swiftbet.com.au//racing/harness/albany/race-7-1963387-1088187
maitland,1,2024-12-28 07:14:23,https://swiftbet.com.au//racing/harness/maitland/race-1-1962820-1088131
maitland,2,2024-12-28 07:46:23,https://swiftbet.com.au//racing/harness/maitland/race-2-1962827-1088131
maitland,3,2024-12-28 08:21:23,https://swiftbet.com.au//racing/harness/maitland/race-3-1962839-1088131
maitland,4,2024-12-28 08:56:23,https://swiftbet.com.au//racing/harness/maitland/race-4-1962847-1088131
maitland,5,2024-12-28 09:27:23,https://swiftbet.com.au//racing/harness/maitland/race-5-1962856-1088131
maitland,6,2024-12-28 10:01:23,https://swiftbet.com.au//racing/harness/maitland/race-6-1962866-1088131
maitland,7,2024-12-28 10:40:23,https://swiftbet.com.au//racing/harness/maitland/race-7-1962872-1088131
maitland,8,2024-12-28 11:15:23,https://swiftbet.com.au//racing/harness/maitland/race-8-1962876-1088131
maitland,9,2024-12-28 11:44:23,https://swiftbet.com.au//racing/harness/maitland/race-9-1962882-1088131
westport,1,2024-12-27 23:09:23,https://swiftbet.com.au//racing/harness/westport/race-1-1964378-1088290
westport,2,2024-12-27 23:34:23,https://swiftbet.com.au//racing/harness/westport/race-2-1964382-1088290
westport,3,2024-12-28 00:00:23,https://swiftbet.com.au//racing/harness/westport/race-3-1964386-1088290
westport,4,2024-12-28 00:26:23,https://swiftbet.com.au//racing/harness/westport/race-4-1964389-1088290
westport,5,2024-12-28 00:51:23,https://swiftbet.com.au//racing/harness/westport/race-5-1964391-1088290
westport,6,2024-12-28 01:16:23,https://swiftbet.com.au//racing/harness/westport/race-6-1964394-1088290
westport,7,2024-12-28 01:43:23,https://swiftbet.com.au//racing/harness/westport/race-7-1964397-1088290
westport,8,2024-12-28 02:14:23,https://swiftbet.com.au//racing/harness/westport/race-8-1964399-1088290
westport,9,2024-12-28 02:42:23,https://swiftbet.com.au//racing/harness/westport/race-9-1964402-1088290
westport,10,2024-12-28 03:13:23,https://swiftbet.com.au//racing/harness/westport/race-10-1964405-1088290
westport,11,2024-12-28 03:48:23,https://swiftbet.com.au//racing/harness/westport/race-11-1964408-1088290
westport,12,2024-12-28 04:19:23,https://swiftbet.com.au//racing/harness/westport/race-12-1964411-1088290
