course,race_number,time,html_link
geelong,1,Finished,https://swiftbet.com.au//racing/greyhounds/geelong/race-1-1963123-1088166
geelong,2,Finished,https://swiftbet.com.au//racing/greyhounds/geelong/race-2-1963127-1088166
geelong,3,Finished,https://swiftbet.com.au//racing/greyhounds/geelong/race-3-1963131-1088166
geelong,4,Finished,https://swiftbet.com.au//racing/greyhounds/geelong/race-4-1963135-1088166
geelong,5,Finished,https://swiftbet.com.au//racing/greyhounds/geelong/race-5-1963139-1088166
geelong,6,Finished,https://swiftbet.com.au//racing/greyhounds/geelong/race-6-1963143-1088166
geelong,7,Finished,https://swiftbet.com.au//racing/greyhounds/geelong/race-7-1963146-1088166
geelong,8,Finished,https://swiftbet.com.au//racing/greyhounds/geelong/race-8-1963150-1088166
geelong,9,Finished,https://swiftbet.com.au//racing/greyhounds/geelong/race-9-1963154-1088166
geelong,10,Finished,https://swiftbet.com.au//racing/greyhounds/geelong/race-10-1963157-1088166
geelong,11,Finished,https://swiftbet.com.au//racing/greyhounds/geelong/race-11-1963160-1088166
geelong,12,Finished,https://swiftbet.com.au//racing/greyhounds/geelong/race-12-1963162-1088166
horsham,1,Finished,https://swiftbet.com.au//racing/greyhounds/horsham/race-1-1963107-1088164
horsham,2,Finished,https://swiftbet.com.au//racing/greyhounds/horsham/race-2-1963112-1088164
horsham,3,Finished,https://swiftbet.com.au//racing/greyhounds/horsham/race-3-1963116-1088164
horsham,4,Finished,https://swiftbet.com.au//racing/greyhounds/horsham/race-4-1963120-1088164
horsham,5,Finished,https://swiftbet.com.au//racing/greyhounds/horsham/race-5-1963125-1088164
horsham,6,Finished,https://swiftbet.com.au//racing/greyhounds/horsham/race-6-1963129-1088164
horsham,7,Finished,https://swiftbet.com.au//racing/greyhounds/horsham/race-7-1963133-1088164
horsham,8,Finished,https://swiftbet.com.au//racing/greyhounds/horsham/race-8-1963137-1088164
horsham,9,Finished,https://swiftbet.com.au//racing/greyhounds/horsham/race-9-1963140-1088164
horsham,10,Finished,https://swiftbet.com.au//racing/greyhounds/horsham/race-10-1963144-1088164
horsham,11,Finished,https://swiftbet.com.au//racing/greyhounds/horsham/race-11-1963148-1088164
horsham,12,Finished,https://swiftbet.com.au//racing/greyhounds/horsham/race-12-1963151-1088164
wagga,1,Finished,https://swiftbet.com.au//racing/greyhounds/wagga/race-1-1962161-1088075
