course,race_number,time,html_link
mildura,1,Finished,https://swiftbet.com.au//racing/harness/mildura/race-1-1962219-1088083
mildura,2,Finished,https://swiftbet.com.au//racing/harness/mildura/race-2-1962222-1088083
mildura,3,Finished,https://swiftbet.com.au//racing/harness/mildura/race-3-1962224-1088083
mildura,4,Finished,https://swiftbet.com.au//racing/harness/mildura/race-4-1962226-1088083
mildura,5,Finished,https://swiftbet.com.au//racing/harness/mildura/race-5-1962228-1088083
mildura,6,Finished,https://swiftbet.com.au//racing/harness/mildura/race-6-1962230-1088083
mildura,7,Finished,https://swiftbet.com.au//racing/harness/mildura/race-7-1962232-1088083
mildura,8,Finished,https://swiftbet.com.au//racing/harness/mildura/race-8-1962235-1088083
mildura,9,Finished,https://swiftbet.com.au//racing/harness/mildura/race-9-1962237-1088083
mildura,10,Finished,https://swiftbet.com.au//racing/harness/mildura/race-10-1962239-1088083
gore,1,Finished,https://swiftbet.com.au//racing/harness/gore/race-1-1961784-1088040
gore,2,Finished,https://swiftbet.com.au//racing/harness/gore/race-2-1961785-1088040
gore,3,Finished,https://swiftbet.com.au//racing/harness/gore/race-3-1961788-1088040
gore,4,Finished,https://swiftbet.com.au//racing/harness/gore/race-4-1961790-1088040
gore,5,Finished,https://swiftbet.com.au//racing/harness/gore/race-5-1961793-1088040
gore,6,Finished,https://swiftbet.com.au//racing/harness/gore/race-6-1961796-1088040
gore,7,Finished,https://swiftbet.com.au//racing/harness/gore/race-7-1961803-1088040
gore,8,Finished,https://swiftbet.com.au//racing/harness/gore/race-8-1961809-1088040
gore,9,Finished,https://swiftbet.com.au//racing/harness/gore/race-9-1961819-1088040
gore,10,Finished,https://swiftbet.com.au//racing/harness/gore/race-10-1961826-1088040
gore,11,Finished,https://swiftbet.com.au//racing/harness/gore/race-11-1961833-1088040
gore,12,Finished,https://swiftbet.com.au//racing/harness/gore/race-12-1961839-1088040
melton,1,Finished,https://swiftbet.com.au//racing/harness/melton/race-1-1963026-1088157
melton,2,Finished,https://swiftbet.com.au//racing/harness/melton/race-2-1963031-1088157
melton,3,Finished,https://swiftbet.com.au//racing/harness/melton/race-3-1963037-1088157
melton,4,Finished,https://swiftbet.com.au//racing/harness/melton/race-4-1963046-1088157
melton,5,Finished,https://swiftbet.com.au//racing/harness/melton/race-5-1963053-1088157
melton,6,Finished,https://swiftbet.com.au//racing/harness/melton/race-6-1963062-1088157
melton,7,Finished,https://swiftbet.com.au//racing/harness/melton/race-7-1963071-1088157
melton,8,Finished,https://swiftbet.com.au//racing/harness/melton/race-8-1963075-1088157
melton,9,Finished,https://swiftbet.com.au//racing/harness/melton/race-9-1963079-1088157
melton,10,Finished,https://swiftbet.com.au//racing/harness/melton/race-10-1963083-1088157
penrith,1,Finished,https://swiftbet.com.au//racing/harness/penrith/race-1-1963179-1088171
penrith,2,Finished,https://swiftbet.com.au//racing/harness/penrith/race-2-1963182-1088171
penrith,3,Finished,https://swiftbet.com.au//racing/harness/penrith/race-3-1963184-1088171
penrith,4,Finished,https://swiftbet.com.au//racing/harness/penrith/race-4-1963186-1088171
penrith,5,Finished,https://swiftbet.com.au//racing/harness/penrith/race-5-1963188-1088171
penrith,6,Finished,https://swiftbet.com.au//racing/harness/penrith/race-6-1963190-1088171
penrith,7,Finished,https://swiftbet.com.au//racing/harness/penrith/race-7-1963192-1088171
penrith,8,Finished,https://swiftbet.com.au//racing/harness/penrith/race-8-1963195-1088171
penrith,9,Finished,https://swiftbet.com.au//racing/harness/penrith/race-9-1963197-1088171
redcliffe,1,Finished,https://swiftbet.com.au//racing/harness/redcliffe/race-1-1962433-1088096
redcliffe,2,Finished,https://swiftbet.com.au//racing/harness/redcliffe/race-2-1962436-1088096
redcliffe,3,Finished,https://swiftbet.com.au//racing/harness/redcliffe/race-3-1962439-1088096
redcliffe,4,Finished,https://swiftbet.com.au//racing/harness/redcliffe/race-4-1962443-1088096
redcliffe,5,Finished,https://swiftbet.com.au//racing/harness/redcliffe/race-5-1962446-1088096
redcliffe,6,Finished,https://swiftbet.com.au//racing/harness/redcliffe/race-6-1962449-1088096
redcliffe,7,Finished,https://swiftbet.com.au//racing/harness/redcliffe/race-7-1962453-1088096
redcliffe,8,Finished,https://swiftbet.com.au//racing/harness/redcliffe/race-8-1962455-1088096
