course,race_number,time,html_link
nhill,1,Finished,https://swiftbet.com.au//racing/gallops/nhill/race-1-1963826-1088226
nhill,2,Finished,https://swiftbet.com.au//racing/gallops/nhill/race-2-1963831-1088226
nhill,3,Finished,https://swiftbet.com.au//racing/gallops/nhill/race-3-1963834-1088226
nhill,4,Finished,https://swiftbet.com.au//racing/gallops/nhill/race-4-1963836-1088226
nhill,5,Finished,https://swiftbet.com.au//racing/gallops/nhill/race-5-1963839-1088226
nhill,6,Finished,https://swiftbet.com.au//racing/gallops/nhill/race-6-1963841-1088226
nhill,7,Finished,https://swiftbet.com.au//racing/gallops/nhill/race-7-1963844-1088226
seymour,1,Finished,https://swiftbet.com.au//racing/gallops/seymour/race-1-1963880-1088231
seymour,2,Finished,https://swiftbet.com.au//racing/gallops/seymour/race-2-1963882-1088231
seymour,3,Finished,https://swiftbet.com.au//racing/gallops/seymour/race-3-1963885-1088231
seymour,4,Finished,https://swiftbet.com.au//racing/gallops/seymour/race-4-1963887-1088231
seymour,5,Finished,https://swiftbet.com.au//racing/gallops/seymour/race-5-1963888-1088231
seymour,6,Finished,https://swiftbet.com.au//racing/gallops/seymour/race-6-1963889-1088231
seymour,7,Finished,https://swiftbet.com.au//racing/gallops/seymour/race-7-1963890-1088231
seymour,8,Finished,https://swiftbet.com.au//racing/gallops/seymour/race-8-1963891-1088231
sapphire-coast,1,Finished,https://swiftbet.com.au//racing/gallops/sapphire-coast/race-1-1963846-1088227
sapphire-coast,2,Finished,https://swiftbet.com.au//racing/gallops/sapphire-coast/race-2-1963848-1088227
sapphire-coast,3,Finished,https://swiftbet.com.au//racing/gallops/sapphire-coast/race-3-1963851-1088227
sapphire-coast,4,Finished,https://swiftbet.com.au//racing/gallops/sapphire-coast/race-4-1963853-1088227
sapphire-coast,5,Finished,https://swiftbet.com.au//racing/gallops/sapphire-coast/race-5-1963855-1088227
sapphire-coast,6,Finished,https://swiftbet.com.au//racing/gallops/sapphire-coast/race-6-1963857-1088227
sapphire-coast,7,Finished,https://swiftbet.com.au//racing/gallops/sapphire-coast/race-7-1963860-1088227
port-macquarie,1,Finished,https://swiftbet.com.au//racing/gallops/port-macquarie/race-1-1963863-1088230
port-macquarie,2,Finished,https://swiftbet.com.au//racing/gallops/port-macquarie/race-2-1963865-1088230
port-macquarie,3,Finished,https://swiftbet.com.au//racing/gallops/port-macquarie/race-3-1963868-1088230
port-macquarie,4,Finished,https://swiftbet.com.au//racing/gallops/port-macquarie/race-4-1963870-1088230
port-macquarie,5,Finished,https://swiftbet.com.au//racing/gallops/port-macquarie/race-5-1963872-1088230
port-macquarie,6,Finished,https://swiftbet.com.au//racing/gallops/port-macquarie/race-6-1963874-1088230
port-macquarie,7,Finished,https://swiftbet.com.au//racing/gallops/port-macquarie/race-7-1963876-1088230
sunshine-coast,1,Finished,https://swiftbet.com.au//racing/gallops/sunshine-coast/race-1-1964140-1088259
sunshine-coast,2,Finished,https://swiftbet.com.au//racing/gallops/sunshine-coast/race-2-1964159-1088259
sunshine-coast,3,Finished,https://swiftbet.com.au//racing/gallops/sunshine-coast/race-3-1964168-1088259
sunshine-coast,4,2024-12-29 04:14:54.546582,https://swiftbet.com.au//racing/gallops/sunshine-coast/race-4-1964175-1088259
sunshine-coast,5,Finished,https://swiftbet.com.au//racing/gallops/sunshine-coast/race-5-1964181-1088259
sunshine-coast,6,Finished,https://swiftbet.com.au//racing/gallops/sunshine-coast/race-6-1964190-1088259
sunshine-coast,7,Finished,https://swiftbet.com.au//racing/gallops/sunshine-coast/race-7-1964200-1088259
bunbury,1,Finished,https://swiftbet.com.au//racing/gallops/bunbury/race-1-1963799-1088224
bunbury,2,Finished,https://swiftbet.com.au//racing/gallops/bunbury/race-2-1963803-1088224
bunbury,3,Finished,https://swiftbet.com.au//racing/gallops/bunbury/race-3-1963806-1088224
bunbury,4,Finished,https://swiftbet.com.au//racing/gallops/bunbury/race-4-1963810-1088224
bunbury,5,Finished,https://swiftbet.com.au//racing/gallops/bunbury/race-5-1963815-1088224
bunbury,6,Finished,https://swiftbet.com.au//racing/gallops/bunbury/race-6-1963818-1088224
bunbury,7,Finished,https://swiftbet.com.au//racing/gallops/bunbury/race-7-1963822-1088224
bunbury,8,Finished,https://swiftbet.com.au//racing/gallops/bunbury/race-8-1963824-1088224
wanganui,1,Finished,https://swiftbet.com.au//racing/gallops/wanganui/race-1-1963771-1088223
wanganui,2,Finished,https://swiftbet.com.au//racing/gallops/wanganui/race-2-1963775-1088223
wanganui,3,Finished,https://swiftbet.com.au//racing/gallops/wanganui/race-3-1963780-1088223
wanganui,4,Finished,https://swiftbet.com.au//racing/gallops/wanganui/race-4-1963783-1088223
wanganui,5,Finished,https://swiftbet.com.au//racing/gallops/wanganui/race-5-1963787-1088223
wanganui,6,Finished,https://swiftbet.com.au//racing/gallops/wanganui/race-6-1963789-1088223
wanganui,7,Finished,https://swiftbet.com.au//racing/gallops/wanganui/race-7-1963792-1088223
wanganui,8,Finished,https://swiftbet.com.au//racing/gallops/wanganui/race-8-1963795-1088223
