course,race_number,time,html_link
sale,1,2024-12-29 06:56:08,https://swiftbet.com.au//racing/greyhounds/sale/race-1-1964017-1088244
sale,2,2024-12-29 07:16:08,https://swiftbet.com.au//racing/greyhounds/sale/race-2-1964019-1088244
sale,3,2024-12-29 07:39:08,https://swiftbet.com.au//racing/greyhounds/sale/race-3-1964022-1088244
sale,4,2024-12-29 08:01:08,https://swiftbet.com.au//racing/greyhounds/sale/race-4-1964024-1088244
sale,5,2024-12-29 08:24:08,https://swiftbet.com.au//racing/greyhounds/sale/race-5-1964025-1088244
sale,6,2024-12-29 08:47:08,https://swiftbet.com.au//racing/greyhounds/sale/race-6-1964027-1088244
sale,7,2024-12-29 09:06:08,https://swiftbet.com.au//racing/greyhounds/sale/race-7-1964028-1088244
sale,8,2024-12-29 09:26:08,https://swiftbet.com.au//racing/greyhounds/sale/race-8-1964029-1088244
sale,9,2024-12-29 09:49:08,https://swiftbet.com.au//racing/greyhounds/sale/race-9-1964031-1088244
sale,10,2024-12-29 10:08:08,https://swiftbet.com.au//racing/greyhounds/sale/race-10-1964033-1088244
sale,11,2024-12-29 10:33:08,https://swiftbet.com.au//racing/greyhounds/sale/race-11-1964035-1088244
sale,12,2024-12-29 10:52:08,https://swiftbet.com.au//racing/greyhounds/sale/race-12-1964036-1088244
grafton,1,2024-12-29 07:04:08,https://swiftbet.com.au//racing/greyhounds/grafton/race-1-1963668-1088212
grafton,2,2024-12-29 07:24:08,https://swiftbet.com.au//racing/greyhounds/grafton/race-2-1963678-1088212
grafton,3,2024-12-29 07:46:08,https://swiftbet.com.au//racing/greyhounds/grafton/race-3-1963687-1088212
grafton,4,2024-12-29 08:09:08,https://swiftbet.com.au//racing/greyhounds/grafton/race-4-1963695-1088212
grafton,5,2024-12-29 08:31:08,https://swiftbet.com.au//racing/greyhounds/grafton/race-5-1963708-1088212
grafton,6,2024-12-29 08:51:08,https://swiftbet.com.au//racing/greyhounds/grafton/race-6-1963718-1088212
grafton,7,2024-12-29 09:14:08,https://swiftbet.com.au//racing/greyhounds/grafton/race-7-1963731-1088212
grafton,8,2024-12-29 09:34:08,https://swiftbet.com.au//racing/greyhounds/grafton/race-8-1963743-1088212
grafton,9,2024-12-29 09:56:08,https://swiftbet.com.au//racing/greyhounds/grafton/race-9-1963749-1088212
grafton,10,2024-12-29 10:14:08,https://swiftbet.com.au//racing/greyhounds/grafton/race-10-1963755-1088212
taree,1,2024-12-29 07:27:08,https://swiftbet.com.au//racing/greyhounds/taree/race-1-1963757-1088219
taree,2,2024-12-29 07:43:08,https://swiftbet.com.au//racing/greyhounds/taree/race-2-1963763-1088219
taree,3,2024-12-29 08:03:08,https://swiftbet.com.au//racing/greyhounds/taree/race-3-1963772-1088219
taree,4,2024-12-29 08:27:08,https://swiftbet.com.au//racing/greyhounds/taree/race-4-1963776-1088219
taree,5,2024-12-29 08:42:08,https://swiftbet.com.au//racing/greyhounds/taree/race-5-1963781-1088219
taree,6,2024-12-29 09:02:08,https://swiftbet.com.au//racing/greyhounds/taree/race-6-1963786-1088219
taree,7,2024-12-29 09:19:08,https://swiftbet.com.au//racing/greyhounds/taree/race-7-1963791-1088219
taree,8,2024-12-29 09:37:08,https://swiftbet.com.au//racing/greyhounds/taree/race-8-1963797-1088219
taree,9,2024-12-29 09:59:08,https://swiftbet.com.au//racing/greyhounds/taree/race-9-1963805-1088219
taree,10,2024-12-29 10:20:08,https://swiftbet.com.au//racing/greyhounds/taree/race-10-1963809-1088219
taree,11,2024-12-29 10:46:08,https://swiftbet.com.au//racing/greyhounds/taree/race-11-1963816-1088219
taree,12,2024-12-29 11:06:08,https://swiftbet.com.au//racing/greyhounds/taree/race-12-1963825-1088219
albion-park,1,2024-12-29 07:51:08,https://swiftbet.com.au//racing/greyhounds/albion-park/race-1-1963766-1088221
albion-park,2,2024-12-29 08:06:08,https://swiftbet.com.au//racing/greyhounds/albion-park/race-2-1963774-1088221
albion-park,3,2024-12-29 08:21:08,https://swiftbet.com.au//racing/greyhounds/albion-park/race-3-1963779-1088221
albion-park,4,2024-12-29 08:36:08,https://swiftbet.com.au//racing/greyhounds/albion-park/race-4-1963784-1088221
albion-park,5,2024-12-29 08:54:08,https://swiftbet.com.au//racing/greyhounds/albion-park/race-5-1963788-1088221
albion-park,6,2024-12-29 09:11:08,https://swiftbet.com.au//racing/greyhounds/albion-park/race-6-1963794-1088221
albion-park,7,2024-12-29 09:31:08,https://swiftbet.com.au//racing/greyhounds/albion-park/race-7-1963798-1088221
albion-park,8,2024-12-29 09:46:08,https://swiftbet.com.au//racing/greyhounds/albion-park/race-8-1963802-1088221
albion-park,9,2024-12-29 10:11:08,https://swiftbet.com.au//racing/greyhounds/albion-park/race-9-1963812-1088221
albion-park,10,2024-12-29 10:36:08,https://swiftbet.com.au//racing/greyhounds/albion-park/race-10-1963819-1088221
albion-park,11,2024-12-29 10:54:08,https://swiftbet.com.au//racing/greyhounds/albion-park/race-11-1963828-1088221
albion-park,12,2024-12-29 11:11:08,https://swiftbet.com.au//racing/greyhounds/albion-park/race-12-1963835-1088221
darwin,1,2024-12-29 08:57:08,https://swiftbet.com.au//racing/greyhounds/darwin/race-1-1963701-1088217
darwin,2,2024-12-29 09:16:08,https://swiftbet.com.au//racing/greyhounds/darwin/race-2-1963710-1088217
darwin,3,2024-12-29 09:38:08,https://swiftbet.com.au//racing/greyhounds/darwin/race-3-1963722-1088217
darwin,4,2024-12-29 09:53:08,https://swiftbet.com.au//racing/greyhounds/darwin/race-4-1963734-1088217
darwin,5,2024-12-29 10:17:08,https://swiftbet.com.au//racing/greyhounds/darwin/race-5-1963742-1088217
darwin,6,2024-12-29 10:42:08,https://swiftbet.com.au//racing/greyhounds/darwin/race-6-1963747-1088217
darwin,7,2024-12-29 11:08:08,https://swiftbet.com.au//racing/greyhounds/darwin/race-7-1963753-1088217
darwin,8,2024-12-29 11:11:08,https://swiftbet.com.au//racing/greyhounds/darwin/race-8-1963760-1088217
darwin,9,2024-12-29 11:11:08,https://swiftbet.com.au//racing/greyhounds/darwin/race-9-1963768-1088217
gawler,1,2024-12-29 07:01:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-1-1963647-1088208
gawler,2,2024-12-29 07:21:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-2-1963650-1088208
gawler,3,2024-12-29 07:36:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-3-1963654-1088208
gawler,4,2024-12-29 07:57:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-4-1963659-1088208
gawler,5,2024-12-29 08:13:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-5-1963665-1088208
gawler,6,2024-12-29 08:33:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-6-1963672-1088208
gawler,7,2024-12-29 08:49:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-7-1963681-1088208
gawler,8,2024-12-29 09:08:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-8-1963689-1088208
gawler,9,2024-12-29 09:28:08,https://swiftbet.com.au//racing/greyhounds/gawler/race-9-1963704-1088208
