course,race_number,time,html_link
albion-park,1,Finished,https://swiftbet.com.au//racing/harness/albion-park/race-1-1962897-1088139
albion-park,2,Finished,https://swiftbet.com.au//racing/harness/albion-park/race-2-1962900-1088139
albion-park,3,Finished,https://swiftbet.com.au//racing/harness/albion-park/race-3-1962902-1088139
albion-park,4,Finished,https://swiftbet.com.au//racing/harness/albion-park/race-4-1962903-1088139
albion-park,5,Finished,https://swiftbet.com.au//racing/harness/albion-park/race-5-1962905-1088139
albion-park,6,Finished,https://swiftbet.com.au//racing/harness/albion-park/race-6-1962907-1088139
albion-park,7,Finished,https://swiftbet.com.au//racing/harness/albion-park/race-7-1962908-1088139
albion-park,8,Finished,https://swiftbet.com.au//racing/harness/albion-park/race-8-1962910-1088139
albion-park,10,Finished,https://swiftbet.com.au//racing/harness/albion-park/race-10-1962913-1088139
albany,1,Finished,https://swiftbet.com.au//racing/harness/albany/race-1-1963372-1088187
albany,2,Finished,https://swiftbet.com.au//racing/harness/albany/race-2-1963375-1088187
albany,3,Finished,https://swiftbet.com.au//racing/harness/albany/race-3-1963378-1088187
albany,4,Finished,https://swiftbet.com.au//racing/harness/albany/race-4-1963379-1088187
albany,5,Finished,https://swiftbet.com.au//racing/harness/albany/race-5-1963382-1088187
albany,6,Finished,https://swiftbet.com.au//racing/harness/albany/race-6-1963385-1088187
albany,7,Finished,https://swiftbet.com.au//racing/harness/albany/race-7-1963387-1088187
cranbourne,1,Finished,https://swiftbet.com.au//racing/harness/cranbourne/race-1-1962809-1088130
cranbourne,2,Finished,https://swiftbet.com.au//racing/harness/cranbourne/race-2-1962814-1088130
cranbourne,3,Finished,https://swiftbet.com.au//racing/harness/cranbourne/race-3-1962819-1088130
cranbourne,4,Finished,https://swiftbet.com.au//racing/harness/cranbourne/race-4-1962829-1088130
cranbourne,5,Finished,https://swiftbet.com.au//racing/harness/cranbourne/race-5-1962841-1088130
cranbourne,6,Finished,https://swiftbet.com.au//racing/harness/cranbourne/race-6-1962850-1088130
cranbourne,7,Finished,https://swiftbet.com.au//racing/harness/cranbourne/race-7-1962859-1088130
maitland,1,Finished,https://swiftbet.com.au//racing/harness/maitland/race-1-1962820-1088131
maitland,2,Finished,https://swiftbet.com.au//racing/harness/maitland/race-2-1962827-1088131
maitland,3,Finished,https://swiftbet.com.au//racing/harness/maitland/race-3-1962839-1088131
maitland,4,Finished,https://swiftbet.com.au//racing/harness/maitland/race-4-1962847-1088131
maitland,5,Finished,https://swiftbet.com.au//racing/harness/maitland/race-5-1962856-1088131
maitland,6,Finished,https://swiftbet.com.au//racing/harness/maitland/race-6-1962866-1088131
maitland,7,Finished,https://swiftbet.com.au//racing/harness/maitland/race-7-1962872-1088131
maitland,8,Finished,https://swiftbet.com.au//racing/harness/maitland/race-8-1962876-1088131
maitland,9,Finished,https://swiftbet.com.au//racing/harness/maitland/race-9-1962882-1088131
westport,1,Finished,https://swiftbet.com.au//racing/harness/westport/race-1-1964378-1088290
westport,2,Finished,https://swiftbet.com.au//racing/harness/westport/race-2-1964382-1088290
westport,3,Finished,https://swiftbet.com.au//racing/harness/westport/race-3-1964386-1088290
westport,4,Finished,https://swiftbet.com.au//racing/harness/westport/race-4-1964389-1088290
westport,5,Finished,https://swiftbet.com.au//racing/harness/westport/race-5-1964391-1088290
westport,6,Finished,https://swiftbet.com.au//racing/harness/westport/race-6-1964394-1088290
westport,7,Finished,https://swiftbet.com.au//racing/harness/westport/race-7-1964397-1088290
westport,8,Finished,https://swiftbet.com.au//racing/harness/westport/race-8-1964399-1088290
westport,9,Finished,https://swiftbet.com.au//racing/harness/westport/race-9-1964402-1088290
westport,10,Finished,https://swiftbet.com.au//racing/harness/westport/race-10-1964405-1088290
westport,11,Finished,https://swiftbet.com.au//racing/harness/westport/race-11-1964408-1088290
westport,12,Finished,https://swiftbet.com.au//racing/harness/westport/race-12-1964411-1088290
