course,race_number,time,html_link
toowoomba,1,Finished,https://swiftbet.com.au//racing/gallops/toowoomba/race-1-1964150-1088261
toowoomba,2,Finished,https://swiftbet.com.au//racing/gallops/toowoomba/race-2-1964165-1088261
toowoomba,3,Finished,https://swiftbet.com.au//racing/gallops/toowoomba/race-3-1964173-1088261
toowoomba,4,Finished,https://swiftbet.com.au//racing/gallops/toowoomba/race-4-1964180-1088261
toowoomba,6,Finished,https://swiftbet.com.au//racing/gallops/toowoomba/race-6-1964196-1088261
toowoomba,7,Finished,https://swiftbet.com.au//racing/gallops/toowoomba/race-7-1964203-1088261
moonee-valley,1,Finished,https://swiftbet.com.au//racing/gallops/moonee-valley/race-1-1963207-1088174
moonee-valley,2,Finished,https://swiftbet.com.au//racing/gallops/moonee-valley/race-2-1963214-1088174
moonee-valley,3,Finished,https://swiftbet.com.au//racing/gallops/moonee-valley/race-3-1963220-1088174
moonee-valley,4,Finished,https://swiftbet.com.au//racing/gallops/moonee-valley/race-4-1963226-1088174
moonee-valley,5,Finished,https://swiftbet.com.au//racing/gallops/moonee-valley/race-5-1963228-1088174
moonee-valley,6,Finished,https://swiftbet.com.au//racing/gallops/moonee-valley/race-6-1963232-1088174
moonee-valley,7,Finished,https://swiftbet.com.au//racing/gallops/moonee-valley/race-7-1963240-1088174
moonee-valley,8,Finished,https://swiftbet.com.au//racing/gallops/moonee-valley/race-8-1963248-1088174
moonee-valley,9,Finished,https://swiftbet.com.au//racing/gallops/moonee-valley/race-9-1963258-1088174
moonee-valley,10,Finished,https://swiftbet.com.au//racing/gallops/moonee-valley/race-10-1963266-1088174
randwick,1,Finished,https://swiftbet.com.au//racing/gallops/randwick/race-1-1962992-1088150
randwick,2,Finished,https://swiftbet.com.au//racing/gallops/randwick/race-2-1962993-1088150
randwick,3,Finished,https://swiftbet.com.au//racing/gallops/randwick/race-3-1962994-1088150
randwick,4,Finished,https://swiftbet.com.au//racing/gallops/randwick/race-4-1962995-1088150
randwick,5,Finished,https://swiftbet.com.au//racing/gallops/randwick/race-5-1962996-1088150
randwick,6,Finished,https://swiftbet.com.au//racing/gallops/randwick/race-6-1962997-1088150
randwick,7,Finished,https://swiftbet.com.au//racing/gallops/randwick/race-7-1962998-1088150
randwick,8,Finished,https://swiftbet.com.au//racing/gallops/randwick/race-8-1962999-1088150
randwick,9,Finished,https://swiftbet.com.au//racing/gallops/randwick/race-9-1963000-1088150
eagle-farm,1,Finished,https://swiftbet.com.au//racing/gallops/eagle-farm/race-1-1963252-1088179
eagle-farm,2,Finished,https://swiftbet.com.au//racing/gallops/eagle-farm/race-2-1963265-1088179
